id编号,标题,点赞数量,投币数量,收藏数量,播放次数,评论1,评论2,评论3,评论4,评论5
20,动画讲编程，官方python学习视频，《看动画，学python，零基础入门》，大厂工程师开发,547,333,2919,3.5万,"p5:
score1=int(input(""请输入第一门成绩""))
score2=int(input(""请输入第二门成绩""))
score3=int(input(""请输入第三门成绩""))
score=(score1>90)*2+(score1<90+score1>60-1)*1+(score2>90)*2+(score2<90+score2>60-1)*1+(score3>90)*2+(score3<90+score3>60-1)*1
print(""您的成绩积分为%d""%(score))","P1：
print(""*****"")
print(""*****"")
print(""*****"")
print(""*****"")
print(""*****"")
更简便的写法：
for i in range (5):
    print(""*****"")",你们家这视频 被人家盗了好几回了 都上热门了 ,"在不考虑换行的情况下P2还可以这么写：
glass1=input(""请输入杯子1中的饮料："")
glass2=input(""请输入杯子2中的饮料："")

print(""交换前杯子1和杯子2中的饮料为："",glass1,glass2)

glass1,glass2=glass2,glass1

print(""交换后杯子1和杯子2中的饮料为："",glass1,glass2)","a = int(input(""请输入第一门成绩：""))
b = int(input(""请输入第二门成绩：""))
c = int(input(""请输入第三门成绩：""))
score1 = (a > 90) * 2 + (60 < a < 90) * 1
score2 = (b > 90) * 2 + (60 < b < 90) * 1
score3 = (c > 90) * 2 + (60 < c < 90) * 1
score = score1 + score2 + score3
print(""得分为：%d "" % score)"
21,中国科学院大学一周讲完的Python教程，整整800集，全程干货无废话，学完即可上岗《零基础入门学习python》,8920,7378,3.0万,32.0万,"置顶
领取全套Python视频资料的兄弟们，请支持一个一键三连➕关注，后台随便打个字，机器人会发你的（注：一定要后台打个招呼哦❗️）
请认准up主只有这一个号发大家❗其他号都不是up主，以免上当受骗！",已三连,已三连,您好uu们，这个课程有对应的书本吗？我看蟒蛇那本可以对应的上吗,三连了，下学期要学收藏了下学期学不懂就来看看
22,【10年编程经验总结】适合0基础小白200集入门到精通学完做可项目,730,255,983,9935,"置顶
我新上的课程强烈推荐大家点击蓝色链接看下，Python/Go/Java/Linux人工智能数据分析前端测试网络安全学习包 课程包含Python、GO语言、Java、Linux云计算、人工智能、机器学习、深度学习、自然语言处理、Opencv视觉图像处理、爬虫JS逆向、数据分析、金融量化等课程的，目前课时已超过1000+小时，后续将会持续更新，需要的小伙伴冲冲冲！！！   ","此教程合适完全0基础的朋友学习，即使之前你从未写过1行代码，也能在学完本课程后，也可达到用Python开发上千行代码小程序的水平。

       无论你日后想做AI、数据分析，还是WEB开发、爬虫、大数据等，都应该先把这部分基础课程掌握。
        
        后面课程还在不断更新中，给点个关注更新时会发布动态，让你随时了解你关注的课程哦！

        视频还有配套代码课件（课程中包含的小案例、源码、作业答案、笔记）免费分享给大家！

只要求给个三连给个关注，课件加V： pybc1024领取哦~",很好的教程，Day1打卡,Python 下载更新了还是怎么了,可以～
23,【B站首推】100道Python学习必练的练习题，零基础小白也能信手拈来，每日一练，暑假实现弯道超车！,1745,786,5344,3.6万,"置顶
领取视频内容练习题的同学请➕V：【Uzi9988W】备注：练习题，先到先得哦！
请认准up主只有这一个号发大家❗其他号都不是up主，以免上当受骗",已三连,三连了,已三连，求练习题,三连了 求练习题!!
24,学姐已上岸！100本Python电子书和全套学习笔记删了可惜，无偿宋给大家~小阳人不骗小阳人,233,366,168,2341,"置顶
100本Python电子书和学习笔记等全套资料已经准备好了，需要的小伙伴请随个+留言“6” 领取哦先到先发，有惊喜哦",print(6),666666,"while ture：
     print（6）",6666
25,清华大佬81小时讲完的Python，整整300集，零基础入门，小白福利，手把手教，无私分享，学完即可就业！！！,4808,994,1.5万,9.1万,"置顶
获取课件资料+python安装包  请点击私信按钮✉️， 发送关键词“学习”，就可以了，有惊喜，先到先发",收藏从未停止，学习从未开始,加油，期待你越做越好。,只有100集,干货视频，质量好，看看来UP是用心啦
26,【千万要听劝】整整300集！让你在一周内学会Python编程，全程干货细致讲解，零基础小白也能信手拈来！,36,10,36,1059,求注册码,已三连，求电子版资料,0,0,0
27,【Python教程】《零基础入门学习Python》,4.5万,5.2万,12.0万,324.2万,"置顶
本系列视频配套教材：
零基础入门学习Python 小甲鱼 python编程从入门到精通实践 pathon语言程序设计实战基础教程全套 计算机电脑编程入门自学书籍","基础系列
【完结】：【Python教程】《零基础入门学习Python》
【最新】：【Python教程】《零基础入门学习Python》最新版（完结撒花🎉）
进阶系列
【机器视觉】：【OpenCV篇】《通过案例学习图像处理及计算机视觉开发》（小甲鱼）
【绘图】：【绘图篇】《极客Python之效率革命》
【爬虫】：【爬虫篇】《极客Python之效率革命》
【办公】：【办公篇】《极客Python之效率革命》
小甲鱼：扎实打下基本功之后，大家可以继续学习下面的极客系列教程哦",好惨，搬运的比正版的播放量还高(´･_･`),"一个技巧:
在英文输入状态下 如果没有锁定大写输入,按下键盘输入的是小写,如果按着Shift再按字母键就是大写 注意此时没有按下大写锁定
相应的,大写输入状态下按住Shift可以输入小写
这个技巧对Python来说很方便 虽然大家可能知道","强烈安利，师妹小讲堂：用算法解决日常问题【Zero to Hero】算法小讲堂👍
实战，你敢来挑战吗？！"
28,千锋教育Python零基础全套视频教程，python入门自学必备极速版,3.8万,7868,1.7万,60.6万,"置顶
视频配套资料文档免费领取添加【Q群：260340209】 ，开启千锋交流学习的旅途~
更多学习资料领取攻略：https://gaoneng.bilibili.com/tetris/page/?pageId=730829208537141248&is_preview=1&event_source_type=4&mid=18729798&buvid=13F83FD1-5C4D-5FDD-5528-36EB31FCAE0081846infoc
锋迷学前必读：千锋在线学员常见B站问题答疑_视频资料获取方法

推荐视频：

python基础：千锋教育Python零基础全套视频教程，python入门自学必备极速版
一套搞定：千锋教育宋宋老师Python数据分析教程_700集零基础Python入门到精通教程（python爬虫+自动化办公+人工智能）
办公自动化：千锋宋如宁最新Python办公自动化教程丨教你5分钟轻松搞定1天的工作
Python爬虫：千锋教育Python爬虫视频教程，Python基础+网络爬虫实战案例教程
Python速成：Python零基础教程快速上手_全程干货+实用技巧小白必看
数据库可视化：千锋教育数据分析与数据可视化教程，从小白到数据分析师自学全套视频
Flask：【千锋】零基础玩转Python_Flask（flask快速上手）
NumPy:千锋教育NumPy教程，保姆级基础入门Python数据分析
Pandas:千锋教育Pandas数据分析从入门到实战，零基础小白保姆级Python数据分析教程
PyEcharts:千锋教育PyEcharts数据可视化快速入门教程，大数据分析Python交互绘图实用利器
scrapy:千锋Python基础scrapy爬虫框架超强教学_入门+实战+项目_小白速成必备
项目：千锋团队项目：全套python项目开发实战教程",除了前面安装python集数，小半天看了20集，怎么说如果你学了高级语言javac语言那种，python特别的灵活让你刚学接受不了直呼“哇”，个人感觉老师讲的就是基础性东西例子比较少很多东西还是要自己有小案例做才更好一些，如果你有其他语言基础他们都差不多相通的基础部分你看的会很快（往后我还没看万一有不同。。我也评价不了）。感觉如果我是刚入门计算机语言的话，不适合看这个，我可能听能听懂但是接受和真正会用不一定。当然希望大家都很厉害啦,感谢分享资源！希望这个链接一直存在！三连！！！,有课件吗,千锋的课程是真的良心啊！不像某些标题上打着有几百几千集的旗号，实际内容只有一两百集
29,全新Python入门/Python自学/PYTHON3/Python从入门到精通,1.1万,7694,3.7万,92.6万,"置顶
想学习Python的小伙伴有福了
我们博学谷官方B站刚刚上新了，9月份面授班随堂实录的，《Python零基础入门到精通》课程；
让你真实体验线下面授课的的快感

基础部分：【面授随堂基础篇】黑马程序员Python入门教程，Python项目实战 | Python数据分析_Python安装_python爬虫_python教程

进阶部分：【黑马面授进阶篇】黑马程序员Python入门教程，python数据分析_python安装_python项目实战_python教程python爬虫

需要配套资料的小伙伴儿，加我vx：boxueguu，回复【视频标题】，领取资料（全部源码 + 课件）。 还有学习交流群，就可以加入一起交流学习哦~~~

ps：如果提示添加好友频繁，请移步至置顶动态即可","挺老师讲话感觉自己好像回到了小时候
这是0基础教程，觉得屁话多你可以快进，可以倍速，吐槽是没有用的，每个人基础不一样，可能有的人甚至没上过几年学，0基础教程优先照顾的是这类人，如果你不是，要么忍一忍，要么去找别的教程，现在是知识付费时代，免费的网络教程以后会越来越少，有无数比你起点低得多的人更珍惜这份资料，所以，如果你还指望有所收获，有所提升，就请尊重老师，尊重同学。",我觉得对于python零基础的人来说讲的挺好的,粗犷豪迈的声音,真·零基础入门了，等这里教的学会了再看别的就比较好深入学习了。先努力学好这些！！
30,爬虫学习：全新JS逆向课程0基础到大神，B站史上最好学的Python爬虫入门视频教程零基础学习逆向轻松简单学,207,203,468,1.1万,"置顶
后直接白瓢课件+案例+笔记https://gaoneng.bilibili.com/tetris/page/?pageId=775812592048865280&is_preview想看更多可以在下面告诉UP，担心排不上的也可以直接找我小助手",老师说话好像罗老师,何老师，这个课程不是完整版的吧？我看有些章节讲着讲着就没了，有点接不上啊,想接单，求带,已三连，求资料，谢谢
31,Python全栈开发从零基础到就业，价值一万多的Python全套教程，现在分享给大家,382,184,1648,2.0万,"置顶
需要python学习资料、开发工具、Python电子书、Python学习路线，关注微信公众号【白又白学Python】",怎么只能投一个币，太少了嗷,镜像dvd有没有链接,不应该是两万多吗,有课件嘛老铁
32,零基础入门学习Python | 鱼C工作室,236,129,2992,5.1万,"Python零基础入门学习第一季：Python零基础入门学习2020最新版（SiKi学院） - 第一季（Python入门）
Python零基础入门学习第二季：Python零基础入门学习2020最新版（SiKi学院） - 第二季（列表）
Python零基础入门学习第三季：Python零基础入门学习2020最新版（SiKi学院） - 第三季（if语句）
Python零基础入门学习第四季：Python零基础入门学习（SiKi学院）字典 - 第四季（字典）
Python零基础入门学习第五季：Python零基础入门学习（SiKi学院）While循环 - 第五季（While循环）
Python零基础入门学习第六季：Python零基础入门学习（SiKi学院）函数 - 第六季（函数）
Python零基础入门学习第七季：Python零基础入门学习（SiKi学院）类 - 第七季（类）
Python零基础入门学习第八季：Python零基础入门学习（SiKi学院）文件操作和异常处理 - 第八季（文件操作和异常处理）","正版已经传到B站了
【Python教程】《零基础入门学习Python》",感谢，画质很清晰,问一下，转载经过作者同意了么？,每次小甲鱼都听成小姐姐
33,学Python枯燥无聊？试试这个看漫画学Python，小学生都能学会！（零基础入门最好的教程）,384,214,732,9950,"置顶
哈喽各位憨，一个人摸黑学会很难，up也是过来人, 学编程学Python,学习途中有什么不懂的话,这里我给大家整理了一些学习资源【学习路线+经典电子书库+技术视频】 : 评论区扣“1”，发给你~",加油,11111,老关是人见人薅啊,111111
34,少儿编程 零基础学python （3年级以上可看）,148,65,913,1.2万,"置顶
我把文中用到的ppt分享出来了，大家可以自取哦

链接：https://pan.baidu.com/s/1rEDmvnsJTP8MjHFfJxXwTA?pwd=ane5 
提取码：ane5",up主PPT可以分享吗？,老师，请问您在长沙教python吗？能留个联系方式吗？最近在给孩子找这方面老师,UP主，可以分享PPT嘛,"感谢分享 , 3连支持"
35,《跟着孙兴华学习Python基础》Python教程零基础【本季完】,4698,5063,1.2万,28.5万,"置顶
更多课程请点击：孙兴华全部课程观看指南【随时更新】

Python全系列课程笔记与课件下载：【提供3种方式】
（1）百度网盘【不支持谷歌浏览器，非会员下载慢】
https://pan.baidu.com/s/162dV7YSt3KkRFIGnrLGmUg 
提取码:2545
（2）115网盘【下载时需要登录】
https://115.com/s/sw38hfn3zdy#
访问码：e401
（3）永硕网盘【下载速度时好时坏】
http://720p.ys168.com/",孙先生可以评选感动中国十大人物,UP主的知识迁移能力特别强，在讲课中高度集合了初学者的体验度，40+的我加你三个大大的赞,我真的被孙老师刷新三观了，这是什么神仙老师，是抱着什么样的信念，提供那么多免费的，高质量的课程，我真的佛了，完全免费，不搞营销套路，不加群，不留微信。非常感谢孙老师，也希望自己学有所成之后能够把这种精神传递下去！！！,真的是很适合小白，很透彻也很详细  之前听过两个课程，MOOC北理工的课和网易数据分析师的课，都算是比较知名的课了吧，不过都没有这个课程这样，从一个完全初学者摸索世界的角度出发，真的把什么事元组什么是字典讲得明白透彻。感谢UP的分享！！支持！！！
36,[中小学生向]Python程序设计，从零基础入门到享受编程乐趣,292,186,1539,2.9万,喜欢 讲的很明白,你好老师，在python01画圆中的第五分钟，小趣老师旁边的两个字符是什么啊？怎么打出来,讲的很好，比其他的简洁易懂,请问乐高老师需要去学这个吗，作用大吗？,很有用的干货
37,每天20分钟Python基础简明教程,2467,1391,7829,10.7万,"置顶
【报名课程你将获得什么】

·每天解锁一课，已经帮你安排好最合理的学习进度；同时，打卡就可获得实体卡片和键盘的奖励，有效督促“三天打鱼两天晒网”型选手～

·看完视频总是不入脑？课程采用交互式学习方法，每一次点击都在增加你的记忆点，一步步操作下来绝对印象深刻～

·每完成一课会获得相应的概念卡和代码卡，卡片帮你随时随地快速回顾所学内容，积攒卡片的满满获得感也会激励你坚持学习下去，这可是收集控的超大福音呀～

·每一节课后帮你对知识点进行总结，简洁清晰的树状图可以快速厘清概念之间的关系，一图回顾一整课，帮你有效对抗遗忘曲线。

·每节课后都有对应的习题，有输出才能反思输入，帮你巩固学习成果～

·我们还有独家秘方——百题斩！100道课后习题，涵盖当日课程涉及的所有知识点，帮助你及时复习、及时获得反馈。Practice makes perfect～

·可以加入当期学习社群，里面有超级负责的专业老师，及时帮你解决遇到的困惑，3秒找到bug，让你的代码顺畅运行～群里还有超级有爱的同学们，让你沉浸在浓浓的学习氛围中，相互激励、共同进步，告别编程小白～

总而言之～教育，我们是专业的。把课程安排和体验交给我们，然后只管跟着课程进度走，30天后就能获得从编程小白到代码小能手的完美转变，惊艳所有人～",不得不说，夜曲的教学方式挺好的,其实一口气把21天的都发出来应该效果很好，因为我可以一天看完,"因为不想什么都不会，也不想就这么简单的被甩在后面，所以想了解一下 计算机方面的东西。所以参见了夜曲编程。
最开始只是参加了，实验课，25天免费。后来发现很有意义，只25天是不够的，所以买了基础课。
现在学习了很多天，我觉得很有意义。比起看动画，追剧，学习一项能力让我更有成就感。
当然啦，我还只是什么都不会的小白
我是一个文科生。我想了解一些我领域之外的事情，而不是被限制。他是一个技能，也是一个视角，是一个接触其他事务领域不同的人的工具。
让我们一起，变得更强。",零基础小白入门  我买了夜曲编程的课程  14-15课开始就很难了，光通过系统学习有些地方理解的不好  虽然视频和课程内容一样  但是换个方式再看一遍能更增加记忆，也不好太无聊，希望up主，加快更新速度，其他进阶课也出个视频
38,北京理工大学（导师：嵩天） - Python语言程序设计（零基础快速入门）深入体验Python学习，全套Python教程现在分享给大家,1888,864,4657,7.7万,"置顶
白嫖资料，请＋评论“已三连，学习”，然后点击私信按钮✉， 发送关键词“学习”，就可以了，有惊喜，先到先发。",已三连，学习,"想问课后题在哪里找啊
没找着呜呜呜",太棒了【高考加油】这个简单易懂，而且学得很快,一个接一个学习 ，很棒内容！
39,千锋教育Python零基础全套视频教程，7天Python极速入门(含python基础，Python数据分析，Python办公自动化),503,510,1538,5.4万,"置顶
<千锋教育与阿里云认证合作：现多款技术高含金量证书限时免费学习+考取>+<视频配套资料免费领取>
 请添加→https://gaoneng.bilibili.com/tetris/page/?pageId=761890129871409152&is_preview=1&event_source_type=4&mid=18729798&buvid=48AF6ECA-3EE9-A9F5-E587-A8C1457D693971614infoc
添加【Q群：298749885】 ，开启千锋交流学习的旅途~
锋迷学前必读：千锋在线学员常见B站问题答疑_视频资料获取方法

推荐视频：

python基础：千锋教育Python零基础全套视频教程，python入门自学必备极速版
一套搞定：千锋教育宋宋老师Python数据分析教程_700集零基础Python入门到精通教程（python爬虫+自动化办公+人工智能）
办公自动化：千锋宋如宁最新Python办公自动化教程丨教你5分钟轻松搞定1天的工作
Python爬虫：千锋教育Python爬虫视频教程，Python基础+网络爬虫实战案例教程
Python速成：Python零基础教程快速上手_全程干货+实用技巧小白必看
数据库可视化：千锋教育数据分析与数据可视化教程，从小白到数据分析师自学全套视频
Flask：千锋教育Flask2框架从入门到精通，Python全栈开发必备教程
NumPy:千锋教育NumPy教程，保姆级基础入门Python数据分析
Pandas:千锋教育Pandas数据分析从入门到实战，零基础小白保姆级Python数据分析教程
PyEcharts:千锋教育PyEcharts数据可视化快速入门教程，大数据分析Python交互绘图实用利器
scrapy:千锋Python基础scrapy爬虫框架超强教学_入门+实战+项目_小白速成必备
项目：千锋团队项目：全套python项目开发实战教程
Python面试题：千锋教育2023版Python面试宝典Python面试核心必考100题","笔记
通过视频学习，了解了什么是面向对象，以及面向对象的核心思想。
面向对象是一种编程范式，它将程序中的数据和操作封装在一个对象中，从而使得程序更加模块化、可重...",Python基础入门必备常识，虽说是基础知识，但还是有一定的难度的，要是不认真听讲，依旧学不会,正焦头烂额找教程呢，千锋就出最新版了，学来看看,求这个课程的学习资料，我没在开玩笑，我想认真学
40,果真站内第一️！能零基础入门的【Python教程】，手把手教你学会！真想学的看过来～,1386,375,1257,1.7万,"置顶
全套资料实测已领！",收藏从未停止，学习从未开始,各位好学之人，你们好，想问问这个typroa的笔记哪里领，就是老师在上课的时候一直在编写的这个笔记,第一次三连了,各位大佬  我就问一下 ， 我啥都不会 ，看这个行不行
41,【附源码题库】寒假内卷！请刷完这200道Python经典练习题，python小白入门必备，一起加油刷题，搞定Python!,862,500,3846,2.8万,"置顶
准备了python练习题+源码+Wei心:【hh208920】
备注：200
 即可无偿分享~
领取的小伙伴，请三连+留个“已三连”哦",那个第一集的排序问题，我jio得用sort()就够了，可能这个更体现思路吧,已三连,已三连,已三连
42,0基础入门深度学习视频教程,120,80,605,1.4万,特别想听但是---希望up改进一下这个声音，听起来很难受。谢谢,看完了，总的来说不错适合新手入门。,UP讲的真的好，一看就是实践，融入了自己的理解，而且还能讲出来的那种。唯一的遗憾就是我听不太清楚。,视频有些地方咋跳过了,新鲜的视频，还很热乎
43,(父与子的python编程之旅)初级教程，学不会就回幼儿园重新开始学,32,18,241,4475,python应该是p y t h o n 不是p t h o n,有意思,有点意思,背景音乐在哪里关,Python!Python!Python!Python!
44,学Python，零基础入门看这一篇就够了！！！,11,10,10,132,已三连，求分享！！,已三连，求分享！！,已三连，求分享！！,已三连，求分享！！,已三连，求分享！！
45,【python学习】建议收藏，目前B站最好学的python入门视频教程零基础学习!python轻松简单学！,20,28,317,2535,我是沙发吗？👀,自打我学会了顶嘴，我老婆也学会了磨刀。,0,0,0
46,Python学习：最新版课程0到N1，B站史上最好学的Python入门视频教程零基础学习Python轻松简单学,1920,496,3261,2.7万,"置顶
【视频授权发布】【Python3.10全套教程】最新版教程，终于上线，为广大粉丝，特意出品！花耗时长近6月左右的时间，马士兵教育-杨淑娟老师，在相继出品「图解Python3.9视频教程」与「Python常见问题100道」之后，如今让粉丝所期待的【Python3.10最新版】可爱的python300集，教程终于上线！视频为为马士兵Python全栈开发中入门基础版，图解python姊妹篇(可爱的python) 首次发布，2022年Python3.10最新版本小白教程，从0开始，针对0基础小白和基础薄弱的伙伴学习，全程干货细讲 更多Python、AIoT教程

【Python工具与相关资料获取等公众号: Python大本营】【UP跪求三连支持，转发干货教程让更多需要的朋友看到！】

主讲老师： 杨淑娟老师，中国好老师，国内Java技术专家，Python技术专家，数据库技术专家

喜欢的小伙伴记得点赞三连喔~",这个还更新吗,非常有用！谢谢老师的分享。,感谢大佬分享，三连给了,谢谢up主，让自学Py的我看到了希望
47,Python语言基础,1702,1584,2921,7.5万,冒个泡泡，为波波老师打call！,简单易懂！比我们老师讲的好！靠你考试了,讲的不错啊，为什么没有播放量呢,波波老师你是怎么做到语速这么快还不说错话的呢,波波老师讲的真的很nice！  期待之后的视频。给波波老师打电话
48,免费放送！小学生都能学会的python入门课（进阶版课程已更新）,6715,1221,7600,5.6万,"up好厉害啊，我能问up一个问题吗
请问怎么用 numpy 实现神经网络全连接层，并使用所实现的神经网络完成手写数字(mnist)数据集( sklearn.datasets.load_digits() ) 上完成多分类任务","贵号的：
    搞笑视频-100万播放；
    宅舞视频-60万播放；
    学习视频-3万播放；
唉，网络是个多么好的学习平台，但我们似乎都倾向于不干正事",过年回家就让我小学的侄子测试一下,UP用的是阿里云的在线工具吗？我怎么没在阿里云里找到啊,作为寒假礼物送给孩子
49,【2023最新】100个Python实战项目（附源码），练完即可就业，从入门到进阶，基础到框架，你想要的全都有，Python入门学习，Python零基础学习,1952,2352,3976,3.8万,"置顶
需要视频中Python爬虫源码给我三联+留个评论，关住UP有快捷回复哦~",已三连，求源码,已关注，球源码，谢谢！,三连啦，求源码,已三连，求源码
50,【全站最系统】北京大学花192小时讲完的Python教程，从基础入门到高薪就业，全程无废话，零基础小白也能信手拈来！—python基础/爬虫/数据分析/全栈开发,2969,1053,7131,4.2万,"置顶
领取视频内容梓料的同学请➕V：【Uzi9988W】备注：课程，先到先得哦！
请认准up主只有这一个号发大家❗其他号都不是up主，以免上当受骗","求各位大佬推荐一下笔记本电脑
本人准大一新生电脑小白，对电脑要求是浏览网页等运行流畅，和屏幕观感好，不怎么打游戏，不玩3A，能流畅运行英雄联盟这样的网游就行，希望可以流畅用个4年，我看身边朋友都无脑游戏本，但是我对笔记本没什么概念不希望性能太过剩，预算1w以下，当然越省钱越好（家里不是很富裕只是父母愿意花钱），谢谢各位，这个对我真的很重要","04:39 另一种思路
其实有另一种方法，就是等到用的时候再变成整型变量（如：print（30+int（num）））这样输出时候是字符串，用加号方便，当然...",安装中有一步看不懂咋办 谁来教教我,求笔记
51,零基础必备！Python语法合集，入门第一步，学完牢牢掌握知识点，看看这些你都学会了吗？,550,69,417,7648,"置顶
全套python学习客件梓料可以加V X:【zpy7236】备注：bz   即分享给需要的小伙伴
领取的小伙伴们，关注UP主➕评论“已三连，求分享”",已三连，求分享,已三连，求分享,已三连，求分享,已三连，求分享
52,【B站最全Python教程】翻遍整个B站，这个编程基础入门课最适合零基础学习！赶紧码住！,60,33,150,2354,"置顶
需要课件加V：Python6789 领取哦","days = 11
residue = 1
print(f'第{days}天有{residue}个桃子')

while True:
    days -= 1
    residue = (residue + 1) * 2
    print(f'第{days}天有{residue}个桃子')
    if days == 1:
        break",up主，这系列视频之后还会更新？,坐等更新......,一口气听到第七讲，上头。第七讲结尾老师还收了个某东快递，哈哈哈。
