id编号,标题,点赞数量,投币数量,收藏数量,播放次数,评论1,评论2,评论3,评论4,评论5
115,Python编程语言零基础入门,316,188,906,2.7万,"置顶
大家好，我是本课程的讲课老师日月光华，这个课程非常的简明易懂，并且结合了python简单爬虫作为练习，可以说最好的Python入门课程。
完整课程在网易云课堂，欢迎大家继续学习：https://study.163.com/course/courseMain.htm?courseId=1209400837&share=2&shareId=400000000187044
日月光华老师QQ： 984595060",一键三连，然后不看,讲的很好，声音也好听，哈哈哈。学习无压力,"寒假赠课活动开始了！！！！   希望从零开始 学习Python、python爬虫和Python数据分析 的同学不要错过！！！
即日起，购买《Python数据分析从入门到机器学习》（共92节，详细讲解Python数据分析和机器学习的知识点和各种库），将免费赠送完整版的《Python零基础入门到爬虫实战》课程，
这里您看到的是Python零基础入门课程的前10节。
还可以领取20元优惠券，
《Python数据分析从入门到机器学习》课程地址：
https://study.163.com/course/courseMain.htm?courseId=1005265027&share=2&shareId=400000000187044
《Python零基础入门到爬虫实战》完整课程地址：
https://study.163.com/course/courseMain.htm?courseId=1209400837&share=2&shareId=400000000187044
日月光华老师QQ： 984595060",支持一下光华老师
116,Python零基础入门学习（SiKi学院）While循环 - 第五季,371,312,1464,1.9万,"置顶
素材、资料、源码下载：学习资源整合包","Python零基础入门学习第一季：Python零基础入门学习2020最新版（SiKi学院） - 第一季（Python入门）
Python零基础入门学习第二季：Python零基础入门学习2020最新版（SiKi学院） - 第二季（列表）
Python零基础入门学习第三季：Python零基础入门学习2020最新版（SiKi学院） - 第三季（if语句）
Python零基础入门学习第四季：Python零基础入门学习（SiKi学院）字典 - 第四季（字典）
Python零基础入门学习第五季：Python零基础入门学习（SiKi学院）While循环 - 第五季（While循环）
Python零基础入门学习第六季：Python零基础入门学习（SiKi学院）函数 - 第六季（函数）
Python零基础入门学习第七季：Python零基础入门学习（SiKi学院）类 - 第七季（类）
Python零基础入门学习第八季：Python零基础入门学习（SiKi学院）文件操作和异常处理 - 第八季（文件操作和异常处理）",我迷恋上了siki的声音,这个视频适合新手小白没基础的人看吗,找了很多Python的教程，终于找到了一个老师声音好听普通发标准的
117,Python全套教程从入门到精通，手把手教你，通俗易懂，学完即可就业，让你的年收入翻几十倍！！！,2260,269,4794,2.3万,"置顶
获取课件资料+python安装包  请点击私信按钮✉️， 发送关键词“学习”，就可以了，有惊喜，先到先发 ",up 你好棒！向你学习,我何止一个赞即可[微笑[妙啊]，我还要来个币！,新建了一个Python交流群，想学Python的朋友私聊我拉你呀,来迟了 罪过罪过
118,【千锋】Python安装到实战应用_零基础入门学习Python（python一套打通）,1479,932,6004,14.8万,"置顶
视频配套资料免费领取→https://gaoneng.bilibili.com/tetris/page/?pageId=730841571398889472&is_preview=1&event_source_type=4&mid=18729798&buvid=13F83FD1-5C4D-5FDD-5528-36EB31FCAE0081846infoc
添加【Q群：226506052】 ，开启千锋交流学习的旅途~
锋迷学前必读：千锋在线学员常见B站问题答疑_视频资料获取方法

推荐视频：

python基础：千锋教育Python零基础全套视频教程，python入门自学必备极速版
一套搞定：千锋教育宋宋老师Python数据分析教程_700集零基础Python入门到精通教程（python爬虫+自动化办公+人工智能）
办公自动化：千锋宋如宁最新Python办公自动化教程丨教你5分钟轻松搞定1天的工作
Python爬虫：千锋教育Python爬虫视频教程，Python基础+网络爬虫实战案例教程
Python速成：Python零基础教程快速上手_全程干货+实用技巧小白必看
数据库可视化：千锋教育数据分析与数据可视化教程，从小白到数据分析师自学全套视频
Flask：千锋教育Flask2框架从入门到精通，Python全栈开发必备教程
NumPy:千锋教育NumPy教程，保姆级基础入门Python数据分析
Pandas:千锋教育Pandas数据分析从入门到实战，零基础小白保姆级Python数据分析教程
PyEcharts:千锋教育PyEcharts数据可视化快速入门教程，大数据分析Python交互绘图实用利器
scrapy:千锋Python基础scrapy爬虫框架超强教学_入门+实战+项目_小白速成必备
项目：千锋团队项目：全套python项目开发实战教程
Python面试题：千锋教育2023版Python面试宝典Python面试核心必考100题",唔，这个视频教学真的超棒耶，老师讲的很好，而且也很幽默鸭。暑假开始了，留守大学生开始自学python ,请问一下老师上课的笔记资料有吗？,相关资料链接发出来啊,哪里可以下载，QQ群群号有吗
119,全网最详细保姆级Python教程-3天学会Python网络编程&并发编程,862,376,1599,2.7万,"置顶
课件加老师V：pybc1024 领取 
觉得视频不错的小伙伴给个三连支持一下，后续会更新更多python精品教程",现在关注以后就是老粉了,呜呜呜 这个系列视频早个几个月我网络编程大作业不至于就60分了,已素质三连,up加油
120,【0基础 30天学Python】大数据专家带你全面掌握Python数据分析（全套教程 附项目实战）,2768,893,2794,2.5万,"置顶
大数据专家用96小时录完的保姆级教程，免费分享给大家！想要的小伙伴

①添加小助手微信【zpy3326】

②或者下方call：”已三连，求分享“ 打包分享给需要的小伙伴

本课程为零基础量身打造

即使你之前从未写过一行代码

也能在学完本课程后达到一个接单水平

觉得课程不错的同学，给个三连支持一下哟~",第一次认识到数据分析能干那么多事，必须学起来,我会计专业的，学这个有帮助吗？,我从事电商行业的，听老师讲的内容，觉得对于我们这个行业来说确实有很大的帮助,自学好段时间了，B站的视频都被我翻了个遍，你这个确实牛
121,Python编程基础（行健数理公开课之python编程初步）,693,348,2479,5.1万,老师，能加更嘛，讲太好了，课太少了，不够看呀！,老师，这个软件怎么调成中文版的呀，全是英文版的很不习惯呀,运行时显示错误，请选择有效的编辑器,老师能讲一下 23年的新版本吗？还是说安装22年10月你这个版本都可以,"老师这个最后一项文件输出那里
macbook没有d盘该怎么写呢"
122,【课程合集-零基础】大数据博士带你零基础入门Python时空大数据分析,614,524,1624,2.3万,"置顶
【课程简介】本系列视频是我和立方数据学院合作的python城市研究系列
【课程资料】添加立方数据学院客服小鲨鱼（微信号：wo_am_nini），可加入立方数据学院技术交流群， 在群里面可获取视频的课程资料，群里也提供答疑服务
【关于答疑】仅在技术交流群中提供答疑服务，私信、评论区、弹幕等方式提问不会有回复
【进阶课程】交通大数据分析实战：https://www.lifangshuju.com/#/introduce/154",小旭学长讲的真的很好啊，希望小旭学长多多出一些介绍像开普勒这些工具的视频，看了真的很有启发！等我这两天把出租车出行的视频学完了就去买一波交通大数据的课嘿嘿嘿～,学长，相比于学课程里送的python教程还是这个好一点？python小白一个,"小旭学长，请教一个问题，用pd.merge(od,stop)，并没有匹配上经纬度，全部都是NAN，而且用于两个数据表连接的那一列数据的类型也是一样的，不知道是为什么，谢谢啦",亲测第一个用conda安装比较合适，后面的网站下载的时候不是404就是404还是404
123,全网最详细保姆级Python教程-3天学会Python网络编程&并发编程,862,376,1599,2.7万,"置顶
课件加老师V：pybc1024 领取 
觉得视频不错的小伙伴给个三连支持一下，后续会更新更多python精品教程",现在关注以后就是老粉了,呜呜呜 这个系列视频早个几个月我网络编程大作业不至于就60分了,已素质三连,up加油
124,海南大学一周讲完的Python教程，整整800集，全程干货无废话，学完即可上岗《零基础入门学习python》,184,85,358,3572,"置顶
领取资料的小伙伴们，关注UP主➕评论“已三连，学习”
私信给我回个“学习”，就会直接发给大家啦！",已三连，学习,已三连学习,零基础OK吗,已三连，学习
125,马士兵杨淑娟Python零基础视频教程(2022最新Python入门到起飞+Python实战项目）,1201,249,3749,3.5万,"置顶
已实测（up）本Python零基础视频教程和源代码、视频课件+Python安装包了（up），
需要给up一键三连，评论""Python"" 即可获取添加XV:msb773",已三连，学习,已三连，学习,已三连 来领学习资料,已三连，学习
126,MySOL数据库实战精讲教程！Python+MySOL 0基础入门到实现操作自由！（2022精华版）,45,16,154,3852,你好，我问一下，D1-3中我用该指令initialize之后，显示不是内部或外部命令，也不是可运行的程序或处理文件,0,0,0,0
127,【Python项目】2023年Python毕设、实战项目、爬虫、数据分析、机器学习、Python基础入门合集,324,337,950,1.4万,"置顶
三连并分享后，评论区评论：“好好学习”
我们会在24小时内私信发你领取方式与学习社群入口
注：谨防骗子私聊打广告，请认准IT私塾官方账号的私信
相关课程推荐：
Python语言基础：（正版独家）Python教程巅峰之作，听觉上的享受（Python入门，Python爬虫，数据分析）

8个项目由浅入深
B站很多项目就是网上搬运的代码，没有思路讲解，看的懂自己不会做。
所以我们的项目视频比较长，更重视过程和思路讲解
看项目视频不要着急，满慢慢来
项目是IT私塾老师和学员日常直播分享的，会有一些聊天内容，可以忽略",好好学习，求源码,好好学习，求源代码,"笔记
00:09 动画引入

根据不听难度分为七个种类由浅入深学习
00:16 举例介绍

结尾总结以及所需物品",好好学习，求源代码
128,【自学用，请勿收藏】花钱买了无数个零基础入门学习PYTHON教程，最好的免费分享给大家！（Python全栈开发教程）,677,406,1076,1.4万,"置顶
视频教程相关学习资源添加小助手V：pydby01 暗号：哔哩哔哩",希望看到这条消息的人能给我点赞提醒我继续坚持下来，我这人有点控不住自己，希望大家能帮我，谢谢各位,计算机组成原理收藏学习了,感谢Python大本营UP主分享，正式我想学习的内容,感谢Python大本营UP主分享，正式我想学习的内容
129,【封神之作】杨淑娟老师耗时1年为Python小白打造，让你零基础快速入门，甩开同龄人走上加速跑道！,734,295,453,1.3万,"置顶
全套课件+安装包激活码加V X:【py06872】
备注：bz 分享给B友们
领取的小伙伴们，请关注UP主➕评论“学习” ","视频为马士兵Python入门基础版(基础语法) ，从0开始，免费分享给大家！想要的小伙伴
①下方call：”已三连，求分享“ 打包分享给需要的小伙伴
②或者添加小助手微信【xxs6610】

本课程为零基础量身打造

即使你之前从未写过一行代码

也能在学完本课程后达到一个接单水平
学习的道路上，会有磕磕绊绊，不要放弃，你可以永远相信杨淑娟老师！冲
觉得课程不错的同学，给个三连支持一下哟~",老师听您的视频收获良多，有时间多多发下，给我们学习,讲的好，学习了，会一直关注的！点赞,太棒了，内容真的很实用，好货十足，已经一键三连了
130,【7天零基础入门Python网络爬虫】2023最新保姆级教程！图灵Python夏洛老师出品！建议收藏，共同进步！,87,100,342,1.0万,"置顶
跟着UP冲啊~
这么好肝，还不抓紧时间？不懂的记得提出来啊~
UP持续输出中，希望大家肝起来啊！
另外真的不打算跟UP互动一下嘛",除了第一集后面的眼会手不会了！,我是网络收藏家！！！,催更+1,案例怎么我敲出来跟UP你的结果不一样呢？
131,【Python算法+数据结构】适合零基础学习的Python，帮你快速通过大厂,627,197,993,1.5万,"置顶
我新上的课，强烈推荐小伙伴们看一下IT黑金卡全套视频教程Python/Linux/Java/C/Go前端小白零基础课程 课程包含Python、GO语言、Java、Linux云计算、人工智能、机器学习、深度学习、自然语言处理、Opencv视觉图像处理、爬虫JS逆向、数据分析、金融量化等课程的，目前课时已超过1000+小时，后续将会持续更新，需要的小伙伴冲冲冲！！！","反馈：P29 topk问题代码有误：
第25行应为for i in range(k,len(li)):  否则源列表中最后一个数未参与比较",P56有错误，但很神奇，老师在print_r里面写 ==-1 居然能输出正确结果，但是我自己代码，必须写！=-1才是正确的，而且老师说应该是不等于-1时,p30和p31顺序弄错了,期末过了补三连
132,Python零基础入门学习2020最新版（SiKi学院） - 第一季,3564,3158,1.5万,17.3万,"置顶
素材、资料、源码下载：学习资源整合包","Python零基础入门学习第一季：Python零基础入门学习2020最新版（SiKi学院） - 第一季（Python入门）
Python零基础入门学习第二季：Python零基础入门学习2020最新版（SiKi学院） - 第二季（列表）
Python零基础入门学习第三季：Python零基础入门学习2020最新版（SiKi学院） - 第三季（if语句）
Python零基础入门学习第四季：Python零基础入门学习（SiKi学院）字典 - 第四季（字典）
Python零基础入门学习第五季：Python零基础入门学习（SiKi学院）While循环 - 第五季（While循环）
Python零基础入门学习第六季：Python零基础入门学习（SiKi学院）函数 - 第六季（函数）
Python零基础入门学习第七季：Python零基础入门学习（SiKi学院）类 - 第七季（类）
Python零基础入门学习第八季：Python零基础入门学习（SiKi学院）文件操作和异常处理 - 第八季（文件操作和异常处理）","up穿越时空泄露天机,赶紧的收藏投币点赞三连,不然太对不起他折的寿。",明年一定学,"cmd /k python ""$(FULL_CURRENT_PATH)"" & PAUSE & EXIT"
133,拜托三连了！这绝对是全B站最用心（没有之一）的人工智能课程，必学的Python基础/机器学习/深度学习/OpenCV，学完立马变大神！,26,10,171,3641,"置顶
粉丝福利+小助理【薇：wzr1624】
即可获取100G人工智能学习礼包（包括ChatGPT籽料、实操源码、最新学习路线、书籍、全套视频教程、课件等等）

领取的小伙伴，请三连+评论:已三连，求分享",有人工智能专业的小伙伴吗？,chatGPT真香啊！,支持一下！,三连啦求资料
134,清华大一周讲完的Python教程，整整400集，全程干货无废话，超详细视频教程《零基础入门学习python》！,3707,1747,9342,15.7万,"置顶
三连+评论 或 斯信up 领取资料",老师，求讲义和课件源码,三连,111,已三连 求up分享课件
135,浙大一周讲完的Python，整整700集，刷完即可就业~无私分享，直接上交公粮~,1792,530,3066,2.6万,"置顶
全套课件+梓料实操源码加V X:【py0280】
备注：bz 即分享给需要的小伙伴 
领取的小伙伴们，关注UP主➕评论“已三连，求分享”",全套资料我已经整理好了,,已三连，求分享,已三连，求分享
136,零基础入门学习Python（小甲鱼）,169,41,736,2.1万,我刚开始，比较关心现在学长学“废”了没?,这个学完了大学的计算机是不是就够用了ww（非计算机专业）,应该是新版的，跟我买的书上面扫码的视频一样的,2013年的 是不是都不一样了 有没有最新版的  博主博主,是新版吗
137,【北大学霸】零基础到大神，Python应该从哪里入手开始学习（Python入门教程全集）,871,104,1109,5042,"置顶
视频经官方授权认证后发布，制作整理不易，【长按点赞 一键三连】是大家支持的UP前进动力
获取Python课件资料【粉丝学习名额】
搜WXin：Py51086
帮助你解决问题：技术答疑、以及学习的路线规划指导

三连再赠送一套Python相关资料
1-Python相关工具
2-Python练习集
3-深入Python
4-Python学习手册
5-Python编码规范
6-Python官方文档
7- Python第一本书

以上 仅针对已经三连过的粉丝  ",已三连,已三连,已三连,已三连
138,【Python】使用pyqt开发Windows Gui程序,217,72,1328,3.1万,点赞收藏退出一气呵成,这个教程是Python2的,python2马上要被抛弃了,新手，安装anaconda3、pyqt5、eric6、eclipse、pydev用了整整一个下午加一个晚上。凌晨12:12，准备休息，记录一下,虽然是python2的教程，但重点不是python的版本，重点应该是qt吧，适合新手看看感受一下，有演示很直观，单个视频时长也可以，觉得还是不错的 ~
139,【干货】python全套教程之Python文件操作（懂中文就能学会）,511,208,866,1.6万,内容实用，令小白见识到了python的魅力,请问一下我的视频爬取为什么爬过来还是文本类型呀,支持,已三连，求资料,支持一下，我很喜欢
140,【千万要听劝】整整300集！让你在一周内学会Python编程，全程干货细致讲解，零基础小白也能信手拈来！,37,10,36,1085,求注册码,已三连，求电子版资料,0,0,0
141,大学期间，我就花了一个月的时间就学会了python，同学都不敢相信，直到看到了这个视频,1312,702,2303,2.7万,"置顶
不会Python没关系。学习道路上，会有磕磕绊绊，不要放弃，加油！
up整理了一些Python的学习资料，可以供大家一起学习Python。
在学习python的道路上往往因为没有交流学习，学习资料，而从入门到放弃。
up这边建了一个python交流探讨群1021958079，欢迎大家一起加入，可领取学习资料哦~","不会Python没关系。学习道路上，会有磕磕绊绊，不要放弃，加油！
up整理了一些Python的学习资料，可以供大家一起学习Python。
在学习python的道路上往往因为没有交流学习，学习资料，而从入门到放弃。
up这边建了一个python交流探讨群1080868489，欢迎大家一起加入，可加管理员老师领取学习资料哦~",我们老师:pathon？三天不就搞定了？,一出生就是科学家，老师和老板都惊呆了。,边洗澡边刷视频，刷到这个的时候正在抹沐浴露，你知道用下巴点赞有多困难吗？
142,【封神之作】杨淑娟老师耗时1年为Python小白打造，让你零基础快速入门，甩开同龄人走上加速跑道！,734,295,453,1.3万,"置顶
全套课件+安装包激活码加V X:【py06872】
备注：bz 分享给B友们
领取的小伙伴们，请关注UP主➕评论“学习” ","视频为马士兵Python入门基础版(基础语法) ，从0开始，免费分享给大家！想要的小伙伴
①下方call：”已三连，求分享“ 打包分享给需要的小伙伴
②或者添加小助手微信【xxs6610】

本课程为零基础量身打造

即使你之前从未写过一行代码

也能在学完本课程后达到一个接单水平
学习的道路上，会有磕磕绊绊，不要放弃，你可以永远相信杨淑娟老师！冲
觉得课程不错的同学，给个三连支持一下哟~",老师听您的视频收获良多，有时间多多发下，给我们学习,讲的好，学习了，会一直关注的！点赞,太棒了，内容真的很实用，好货十足，已经一键三连了
143,【爬虫教程】告诉萌新如何从0开始学Python爬虫，整整200集！从入门到精通！基础教程+pandas题库+numpy题库！绝对保姆级！,521,168,1039,1.4万,"置顶
需要代码+课件资料的小伙伴们，请评论“已三连，学习”，然后给UP私信一下， 发送关键词   “7”  ，就可以了UP都会一一回复的，没有回复刷新一下页面就好了！",已三连，学习,学习！！！谢谢,已三连，学习,已三连，学习
144,【Python教程】爬虫到底该怎么学？8年老程序员用一套详细教程轻松教会你！,380,94,423,1.1万,"置顶
为大家准备了30G的python学习资料
包含实战源码，PDF电子书，安装包/激活码
需要的同学三联后在评论区留言即可",学习！！！谢谢,这个是怎么跟老师学习的呢？我想学,已三连！！！,这个好啊，我要去学习
145,零基础学Python，每日一练（七）提高编程能力！！Python学习！,66,16,36,1617,"置顶
Python全套教程和基础练习题已打包
，评论区留言“111”
关住up可自行提取",中途不如说一下append怎么实现，这样将感觉怪怪的,感觉应该先搞懂对象引用，基本数据类型，栈，堆是什么，怎么存储的，不然只是死记硬背，总结规律没有意义,等于没讲，你的标题叫零基础学python，那新手小白我就会问你，我事先怎么知道哪种方式会改变指向？都要先试错了然后硬记下来吗？你如果说本身就不是讲给像我这样的人听的话，那标题就别叫零基础,111
146,【爬虫JS逆向】建议收藏！全网难度最高Python爬虫综合技术实战教程，零基础请谨慎学习！Python爬虫/JS逆向/APP逆向教程,477,64,1027,4.1万,"置顶
【Python爬虫逆向】不会还有人不知道学会这玩意可以接单和工作吧？7天接7单，简直无敌了！
本教程案例仅供大家学习参考！！！胡乱尝试没准真的刑！
其次本教程所有案例（源码+课件）皆可白嫖，白嫖正确姿势：请评论“已三连，学习”，然后点击私信按钮✉️， 发送关键词“资料”，就可以了，有惊喜，先到先发。！",已三连，学习,已三连，学习,已三连，学习,已三连，学习
147,清华大一周讲完的Python教程，整整400集，全程干货无废话，超详细视频教程《零基础入门学习python》！,3707,1747,9342,15.7万,"置顶
三连+评论 或 斯信up 领取资料",老师，求讲义和课件源码,三连,111,已三连 求up分享课件
148,零基础入门学习Python（小甲鱼）,169,41,736,2.1万,我刚开始，比较关心现在学长学“废”了没?,这个学完了大学的计算机是不是就够用了ww（非计算机专业）,应该是新版的，跟我买的书上面扫码的视频一样的,2013年的 是不是都不一样了 有没有最新版的  博主博主,是新版吗
149,【零基础入门Python】天呐！7岁小孩自学编程，用代码破解了WiFi密码，真的牛呀！,111,31,224,6549,"置顶
【置顶】【置顶】UP多年开发经验，你也想成为为程序员？可以跟我学习哦！！分享Pytho 学习资料，Python 视频教程，Python 爬虫学习资料，Python可视化小工具
领取如下：点击私信按钮✉️， 发送关键词“求分享”，就可以了，赶紧冲冲！ ",while true;里没有循环项,想学啊，求分享,想学,我也想学，求求
150,72小时讲完的python全套教程，整整400集，全程干货无废话，零基础入门学习python！,894,379,2656,4.0万,"置顶
抱歉啊，视频有问题，重新上传了，请耐心稍等啊！",讲的太好啦，通俗易懂已三连,老师。麻烦问您一下。我的电脑打Ctrl+Z和回车没有反应呢,老师你好，想跟着你的视频学习，怎么添加助教老师？,讲的这么好，怎么观看的人这么少
151,用手机学习Python第一期，环境搭建,386,136,409,7977,"置顶
Python全套教程留盐",已三连求分享,已三连求分享,这个软件里面Python可以装第三方库嘛,已三连
152,一个很变态...但可以拯救你Python，少走99%弯路的神仙教程,1402,814,5354,5.1万,"置顶
后直接去拿配套资料+代码工具+技术路线👉https://gaoneng.bilibili.com/tetris/page/?pageId=764608295160655872👈
老师是专业教Python的编程老师，有正式直播，也需要辅导学生；这是在不耽误主要工作情况下，利用碎片时间制作出来的~创作不易，且学且珍惜！
教程只做技术分享，仅供个人学习研究！",这个课程还是有很多干货的，特别是反向js解密，老师讲得通俗易懂，太感谢了,"1.find
2.index
3.count 出现次数",UP主加油！看好你噢~,只是提个建议，split的发音
153,比啃书效果好多了！【浙大人工智能完整版】不愧是浙大教授！5小时让我学会人工智能！学不会来打我！（人工智能丨AI丨机器学习丨深度学习丨Python基础）,807,455,3824,3.6万,"置顶
关注公众号【咕泡AI】回复：235  即可获取以下内容
一、完整课程+配套资料代码
二、100G资料包
三、系统学习，论文辅导，1v1大牛职业规划",大四准研 人工智能专业路过~,这个视频课程里面的各种csv文件能单独分享一下吗，给的度盘分享链接里面其他课程文件太多，还有好多压缩包，根本找不到我要的csv……,交流一下就是，我觉得混淆矩阵那里，特异度举例貌似有点问题呢，就是我们不希望把异常交易预测为正常交易，这个代价很大，其实就是较少FN的数量，那还是应该关注召回率啊，避免出现1变为0的情况，这代价就大了。,已三连，求分享
154,全网最佳自学Python教程来了！《零基础入门到实战最系统教学》全程知识点通透细讲，案例贴合实际，分享给大家~学不会退出IT界！,2354,479,2348,4.0万,"置顶
视频课件及源码数据集，请＋评论“已三连，学习”，然后点击私信按钮✉️， 发送关键词“b站”，就可以了，先到先发 ",我学Python的原因竟然是在小公司里做剪辑师，有视频内容分析的需求，于是就在opencv和Moivepy上越走越远，现在我只需要运行一下pychrm按一下Ctrl+f5，一天的量就有了,已投币，想问一下像我这种英语和数学都不好的人要学到能上岗工作的程度大概估摸要多久（学校里的跟没学差不了多少）,已三连，学习,已三连，学习
155,达内Python基础,40,12,153,4812,来听祁老师相声了,祁老师不讲unity了吗,0,0,0
156,MySOL数据库实战精讲教程！Python+MySOL 0基础入门到实现操作自由！（2022精华版）,45,16,154,3853,你好，我问一下，D1-3中我用该指令initialize之后，显示不是内部或外部命令，也不是可运行的程序或处理文件,0,0,0,0
157,童鞋们！有这6位Python老师，谁还花那冤枉钱去学啊！【Python学习】,606,83,1344,8954,"置顶
准备好了配套籽料+安装包激活码加V X：ppy7770
领取的小伙伴，请三联+留个“已三连”",已三连,已经三连,可，老师我是跟你学的,三连
158,Python零基础入门学习（SiKi学院）文件操作和异常处理 - 第八季,357,255,1439,2.1万,"置顶
素材、资料、源码下载：学习资源整合包",这么好的教学视频，真的不敢相信。,"Python零基础入门学习第一季：Python零基础入门学习2020最新版（SiKi学院） - 第一季（Python入门）
Python零基础入门学习第二季：Python零基础入门学习2020最新版（SiKi学院） - 第二季（列表）
Python零基础入门学习第三季：Python零基础入门学习2020最新版（SiKi学院） - 第三季（if语句）
Python零基础入门学习第四季：Python零基础入门学习（SiKi学院）字典 - 第四季（字典）
Python零基础入门学习第五季：Python零基础入门学习（SiKi学院）While循环 - 第五季（While循环）
Python零基础入门学习第六季：Python零基础入门学习（SiKi学院）函数 - 第六季（函数）
Python零基础入门学习第七季：Python零基础入门学习（SiKi学院）类 - 第七季（类）
Python零基础入门学习第八季：Python零基础入门学习（SiKi学院）文件操作和异常处理 - 第八季（文件操作和异常处理）",看完了，对新手是真的好，还有老师的声音好sexy，但我是个男的【doge],完结撒花
