id编号,标题,点赞数量,投币数量,收藏数量,播放次数,评论1,评论2,评论3,评论4,评论5
159,2020-Python-全栈高级工程师22期 基础+就业班全套课程,505,183,4435,7.4万,"今天我就把我学习的一些教程分享给大家，实际一些，如果你保存后，一定一定一定要： 记得看！记得看！记得看！写博客以后，一直有很多知友问我有没有Python教程、爬虫教程、数据分析、人工智能等等... 学长特意整理了个人觉得不错，并且都是最新最全的学习资源！ 
<a>https://mp.weixin.qq.com/s/fS-FbPGwC0dsjR7CFVPQKg </a>
分为以下几类：Python基础&进阶课程

清华大神尹老师带你学高端爬虫

Python数据分析

Python数据分析与机器学习实战

Python数据分析实战

某知名机构Python教程

Python电子书合集

商业爬虫课程以及区块链

Python人工智能大数据与复杂系统

面试题汇总...

以上所有资源，均来自网络收集。如侵犯利益，请联系学长进行删除。 最后说一下我的学习经历，北漂族，学了python基础、web框架、机器学习、爬虫等 看了视频成千上万，最后功夫不负有心人，过上了想要的生活 相信你也可以，加油！人在经历重重磨难并取得暂时的成功后，会很容易忘记自己受过的苦，记得的只是成功。

最最后我的公众号：刘旺學長","800-816:DragonFire
817-859:串讲
860-876：数据结构和算法","精心整理的2020年最新免费python学习教程，建议收藏起来慢慢看！

600集Python从入门到精通教程（懂中文就能学会）：黑马程序员Python教程_600集Python从入门到精通教程（懂中文就能学会）

从0到1学会编程：黑马程序员全套Python教程_Python基础入门视频教程，零基础小白自学Python入门教程

Python爬虫入门教程Scrapy爬虫框架：黑马程序员Python爬虫基础，快速入门Scrapy爬虫框架

4天快速入手Python数据挖掘：黑马程序员Python教程，4天快速入门Python数据挖掘，系统精讲+实战案例
3天快速入门python机器学习：黑马程序员3天快速入门python机器学习
智能机器人软件开发教程基础：智能机器人软件开发教程基础，从helloworld到神经网络

点一个超级大赞，提醒我放下手机，赶紧去学习！",打卡,能提供下课件吗？
160,Python人工智能全套,2388,859,1.7万,21.6万,收藏从未停止，学习从未开始,单个视频平均长度是3个小时左右，总共286个视频，3*286=858个小时，可怕，在这里我都差点把我的专业课程学完了。。。。。,开始于24:31,2020年4月11日见证历史的我留言 希望我可以在2022年学完这些,楼主牛逼，这是价值2万多的课程
161,千锋教育机器学习从入门到精通清华大学出版！Python快乐编程视频教程,112,53,372,6781,"置顶
视频配套资料文档免费领取攻略：视频课件+配套资料！
点击可享超多权益：免费公开课、1对1答疑解惑、与群内大咖随时交流、学科实战研讨、专属就业指导以及不定期活动福利等！

推荐视频：

Python基础全套：千锋教育Python全套视频教程800集（完整版）
办公自动化：千锋宋如宁最新Python办公自动化教程丨教你5分钟轻松搞定1天的工作
Python入门到精通：千锋教育宋宋老师Python数据分析教程_700集零基础Python入门到精通教程（python爬虫+自动化办公+人工智能）
Python爬虫：千锋教育Python爬虫视频教程，Python基础+网络爬虫实战案例教程
Python速成：Python零基础教程快速上手_全程干货+实用技巧小白必看
数据库可视化：千锋教育数据分析与数据可视化教程，从小白到数据分析师自学全套视频
数据分析：千锋Python数据分析和人工智能全套教程_入门精讲+实战案例（高薪就业课程）
Flask：【千锋】零基础玩转Python_Flask（flask快速上手）
Django：最新Django全套教程【千锋Python】
宋宋老师：千锋宋如宁老师_千锋Python全套视频教程，史上最经典
项目：千锋团队项目：全套python项目开发实战教程","各位锋迷小伙伴，大家好！
本套教程为千锋教育出版书籍《Python快乐编程———机器学习从入门到精通》配套学习视频！
内容介绍：
本教程采用理论与实战相结合的形式,通过生活中的例子来讲解理论知识,结合实际案例代码,帮助读者在掌握机器学习理论的同时,打下项目实践的基础,同时配有丰富的教学资源,帮助读者自学或开展教学工作。
本书共13章：
涵盖机器学习入门所需的数学知识及相关算法,包括: K-近邻算法、决策树、朴素贝叶
斯、逻辑回归与梯度下降、支持向量机、AdaBoost算法、线性回归、K-means算法、Apriori算法、FP-growth算法、主成分分析和奇异值分解。
本教程将理论与实际操作相结合,通过丰富的程序实例和详尽的步骤讲解,与读者一起跳出枯燥的理论知识,快乐学习。
本教程适合刚进入机器学习领域的读者,也可以作为大专院校相关专业的教材。",哇，竟然有机器学习，收藏收藏，以后再看,我问个问题，这视频有声音吗，为什么我听不到,嗯讲的不错很清晰
162,【油管大神】Python教程 6小时完全零基础入门 并掌握到独立开发项目的能力，目前最好的Python国外教程（含完整中文翻译）,314,112,447,8604,"置顶
Python & pycharm安装包，学习思路，   留个“1”～",已三连，求学习资料,三连了，求资料,今天也来打卡,给力啊hhh
163,【全300集】无私奉献，将价值两万多的Python教程，分享给大家，拿走不谢，零基础入门学习python，学完即可高薪就业，学不会退出IT界,112,74,216,1.3万,"置顶
准备了教程相对应的课件、数据源码、笔记，评论“已三连，学习”，可以直接na走噢",已三连，学习,已三连，学习,,一定要坚持创作哦！
164,【python爬虫】一分钟教你白嫖百度文库付费资源（附源码），基础小白也能学会！！,67,74,81,1182,"置顶
爬虫源代码已打包，可，评论区留言提取",已三连,求源码,已三连，求源码,谢谢UP
165,为什么我不建议你无脑学Python？因为你根本还没搞懂这十五个问题！！,634,236,695,3.2万,"置顶
Python全套学习教程：https://t.bilibili.com/660878068271808569?spm_id_from=333.999.0.0",年龄跟学习没有关系，你哪怕30了，你要有心去钻，31也能开始工作，找个满意的公司踏踏实实的干到35也不会说被辞退，哪怕你干到40，45，只要你有能力，老板喜欢，就算不让你写代码也会给你个高薪闲职的管理层。所以别再谈年龄了。只要喜欢，学的下去，就可以放心学，特别是这种互联网内容，不像实体系工作，学挖掘机练手还得去开挖掘机实战，只要有个电脑随时就能跑两段代码,"我曾经学过3中编程语言，目前高中。对于学习编程，我想说的是：
1.并不是每一个人都适合学编程，学习编程需要一定的逻辑能力和理解能力。就拿我最擅长的java来说，java中有个东西叫装饰器，我用了3天才搞明白。初学者可能会吧程序运行理解成一行一行的执行代码，实际上，程序真正运行的时候比这个复杂的多。
2.不建议先学Python。python虽然语法简单，代码量少。但是python因为太过精简，导致python代码的逻辑并不是很容易理解。建议先学C或者是java。
3.学编程一定要有计算机基础。C盘满了就换新电脑的这中水平不可能学好编程的。编程是开发人员的东西，不是大众化的。在安装编程软件的时候就会有很多问题：java的环境变量，idea的配置……。学编程前提是有一些计算机知识基础，会重装系统，熟练使用linux，基本熟悉电脑软件运作的底层逻辑。
4.一定要坚持。没有什么东西是很容易就能学会的。理解不了的地方，就连夜的想;出现bug的地方，就不停的改。只有吃够了苦头，才能真正学到本事",这个不好，那个不行，别的不适合的，说实话普通人不要听一堆人在那边撕逼，喜欢什么就去大胆学习，不比天天自以为满腹经纶然后做起事来啥用没有好，我认为python也好，c c++ Java这些语言也好，只要去学了都能在一个地方发光发热为你人生最高的理想去做铺垫，享受这一过程，我认为就好了,up主，给我也来一张
166,北京科技大学一周讲完的Python教程，整整632集，全程干货无废话，学完即可上岗《零基础入门学习python》,100,72,252,2062,"置顶
领取全套Python视频等资料的兄弟们，请支持一个一键三连➕关注，后台随便打个字，就发你了（注：一定要后台打个招呼哦❗️）
请认准up主只有这一个号发大家❗其他号都不是up主，以免上当受骗！",已三连学习,已三连，学习,已三连学习,已三连学习
167,【Python项目】2023年Python毕设、实战项目、爬虫、数据分析、机器学习、Python基础入门合集,324,337,950,1.4万,"置顶
三连并分享后，评论区评论：“好好学习”
我们会在24小时内私信发你领取方式与学习社群入口
注：谨防骗子私聊打广告，请认准IT私塾官方账号的私信
相关课程推荐：
Python语言基础：（正版独家）Python教程巅峰之作，听觉上的享受（Python入门，Python爬虫，数据分析）

8个项目由浅入深
B站很多项目就是网上搬运的代码，没有思路讲解，看的懂自己不会做。
所以我们的项目视频比较长，更重视过程和思路讲解
看项目视频不要着急，满慢慢来
项目是IT私塾老师和学员日常直播分享的，会有一些聊天内容，可以忽略",好好学习，求源码,好好学习，求源代码,"笔记
00:09 动画引入

根据不听难度分为七个种类由浅入深学习
00:16 举例介绍

结尾总结以及所需物品",好好学习，求源代码
168,【Python教程】保姆级零基础入门学习Python完整版！最新录制全程干货，一起上岸吧！,549,130,827,1.5万,"置顶
Python基础版2022年全新教程，从0开始，针对0基础小白学习，全程干货细讲，内容最新，无任何广告和废话，大家细品即可
粉丝互助学习与相关资料领取:
私信一下【正确姿势：给我发个“学习”或“资料”即可】我会一一发到的，没有看到可以刷新一下界面即可",已三连，学习求分享一下源码,已三连，学习,学习,已三连，学习
169,【python基础】2022零基础学习python，python处理excel自动化办公小工具实战案例(附带课件代码),123,118,1123,7747,好家伙，一分钟，我刷到三个一模一样这套课（评论区各不相同）,这么多python课程，up能不能说说我为什么看你的吗,一楼二楼都是我,0,0
170,半个月爆肝最全Python学习指南,点赞,投币,收藏,77,0,0,0,0,0
171,清华大学一周讲完的Python教程，整整700集，全程干货无废话，学完即可上岗《零基础入门学习Python》,58,39,128,1788,"置顶
白嫖资料，请＋评论“学习”，就可以了。
私信回复“学习”直接领取资料！
请认准up主只有这一个号发大家❗其他号都不是up主，以免上当受骗！",学习，三连了,已三连，学习,学习,学习
172,中国科学院大学一周讲完的Python内部教程，整整800集，全程干货细讲，入门到进阶，学完即可上岗《零基础入门学习python》,80,41,179,2735,"置顶
准备了全套课件籽料+视频加V X:【msb159686】
备注：bz
领取的小伙伴，请三连+留个“已三连，求分享”",三连三连,三连支持了，求分享,已三连，求分享,又学到了......
173,2023年最新【Python教程】全套，从0基础教学到实战，全程无废话全干货（软件安装_基础语法_Python爬虫_Python数据分析）,51,8,37,611,"置顶
UP主就这一个账号哦，有其它人给同学们发信息都是假的，请不要理会~",已三联，求分享,已三联，求分享,已关注，求分享,已三连，求分享
174,"【Python教程】看漫画学Python,通俗易懂，零基础|小白入门教程，从入门到精通，看这一篇就够了",163,11,137,5072,非常nice，讲的通俗易懂，对新手入门非常友好，给你点赞,已三连 求分享,想要一份漫画书的资料,已三连 求分享,111
175,史上最全Python电子书合集！零基础自学必备！！！,12,16,11,136,已三连，求分享！！,已三连，求，谢谢,已三连，求分享,已三连求分享,三连，求分享
176,【全网最细】麻省理工大佬耗时268小时呕心制作Python教程，包含所有核心知识点(Python基础+Python爬虫+Python数据分析),1446,336,3222,3.8万,"置顶
【求三连】若视频对你有所帮助，请记得多多支持
【官方授权】获取配套资源/了解系统学习，欢迎+图灵Python官方助教戳链接直达>>https://t.bilibili.com/731314763264426054",源码发一下呗,声音不错,已3连，哪里领,cherry老师声音真不错
177,Python异步编程 asyncio小白速通（无私奉献好课）,728,626,2007,4.3万,"置顶
需要课件辅助的兄弟可以加我VX:ylai009",讲得很好...怎么形容呢，这老师能把鬼话翻译成人话，我喜欢。,讲的非常不好，对新手来说依然懵逼，看不懂的朋友可以百度一下Python协程，然后再来看看教程，老师概念讲的很透彻，但是实例讲的花里胡哨，老版本新版本混合讲，新手根本搞不懂用哪个库来实现异步，以及异步内部实现原理，旧版本库简单讲一下并标注不建议使用，Python生态本来就是用封装好的东西给用户使用，老师是底层讲不明白，库也说不清楚。,喜欢本视频的小伙伴伸出你幸福发财的小手给点一波三连+关注,"遇到asyncio 在使用asyncio.run() 创建携程 任务出现异常后 在关闭事件循环的时候报错、raise RuntimeError('Event loop is closed'), 内置调用了Exception ignored in: <function Connection.__del__ at 0x7fedd10b83b0> 这个方法,虽然可以换个姿势用 asyncio.run_until_complete() 来运行可以解决,因为这个函数不会自动关闭循环。在新版中使用asyncio.run() 有什么推荐的解决方案吗"
178,3天快速入门Python机器学习（面向零基础小白）,41,34,171,3137,求出最好的参数之后然后怎么带入呢,求更新 求求求 孩子真的很需要啊,怎么加小助理啊,0,0
179,全新整套Python基础 21天从入门到精通（非常适合自学的小伙伴）,624,169,697,9411,"置顶
大佬 如约而至。需要视频中的课件、学习笔记，

以及有要问课程问题的小伙伴可以找我  V：aka7657 谢谢大家的支持",已素质三连,硬币不足  以后再补,大佬厉害了,已粉
180,哈尔滨工业大学一周讲完的Python教程，整整600集，全程干货无废话，学完即可上岗（零基础入门学习python）,160,106,594,4002,"置顶
白嫖Python编程资料
1. 请＋评论“ 666”
2. 然后点击 UP主私信按钮✉️","学习建议:找适合自己的学习资料。很多小白在安装软件后，迫切的进行学习，很多人会找入门书籍看，甚至有的人会按照书籍代码敲一遍，这是最浪费精力和智慧的一个误区。也有一部分人会找一套模糊的视频进行学习，或者找的视频清晰，却没有配套资料，这是非常浪费时间和精力的，非常不可取。其实对于小白，最需要的是先规划好自己入门要学哪方面知识，然后再去学习高清并配有详细注释代码的课程。‍
稳扎稳打，下功夫实践。对于零基础matlab爱好者来说，入门并非难事，难的是在入门时期夯实matlab基本编程能力，而洽洽80%的伙伴因为在入门时期匆忙上阵，错失了夯实基础能力的最佳训练时期，导致在以后的matlab科研和深入细分领域研究中，感觉力不从心，所想不能实践于代码，这才是最可怕的。","学到了很多
666",666,已关注三连666
181,史上最全Python电子书合集！零基础自学必备！！！,12,16,11,137,已三连，求分享！！,已三连，求，谢谢,已三连，求分享,已三连求分享,三连，求分享
182,华为团队斥巨资打造了最新的Python教程，整整100个G，强烈建议学习！学完即可就业，对标大厂年薪50W~~python零基础/爬虫/数据分析/全栈开发,171,98,298,3941,"置顶
感谢各位同学的三连支持！
up主给大家贴心准备的【视频籽憀、课件、源码、路线】等等
点击这里Python学习资料合集获取点这里点这里即可获取！
拥有學習籽料事倍功半哦！！！",求资料，谢谢,零基础小白求一份！,这么多教程 看哪个好啊 还是都可以啊,已三连，求资料
183,哈尔滨工业大学一周讲完的Python教程，整整600集，全程干货无废话，学完即可上岗（零基础入门学习python）,160,106,594,4003,"置顶
白嫖Python编程资料
1. 请＋评论“ 666”
2. 然后点击 UP主私信按钮✉️","学习建议:找适合自己的学习资料。很多小白在安装软件后，迫切的进行学习，很多人会找入门书籍看，甚至有的人会按照书籍代码敲一遍，这是最浪费精力和智慧的一个误区。也有一部分人会找一套模糊的视频进行学习，或者找的视频清晰，却没有配套资料，这是非常浪费时间和精力的，非常不可取。其实对于小白，最需要的是先规划好自己入门要学哪方面知识，然后再去学习高清并配有详细注释代码的课程。‍
稳扎稳打，下功夫实践。对于零基础matlab爱好者来说，入门并非难事，难的是在入门时期夯实matlab基本编程能力，而洽洽80%的伙伴因为在入门时期匆忙上阵，错失了夯实基础能力的最佳训练时期，导致在以后的matlab科研和深入细分领域研究中，感觉力不从心，所想不能实践于代码，这才是最可怕的。","学到了很多
666",666,已关注三连666
184,三天快速入门Python人工智能算法（数学基础+机器视觉+机器学习算法），分享给大家一起学习！,1152,291,1492,2.1万,"置顶
本教程内容为：程序员数学基础+机器视觉+机器学习算法。
课程代码+笔记资料 找小助手免费获取
小助手：python985（记得备注-985哦）

1-33集学习内容为程序员数学基础（多元函数微分学、微积分基础、线性代数基础）
34-75集学习Opencv进阶教程
76-92集是解码Adabosst算法基础的学习
92-101集为解码线性回归算法的学习
提供大家免费的学习，希望对大家的编程之路有所帮助

小伙伴记得点个三连哦
小伙伴记得点个三连哦",学完基础 接下来要学什么呢！有规划吗 up up,我是来学数学的，算法我来了，见证我来学习过,学到啦,老师，请问有没有推荐教材或者书？
185,2022年超实用的Python编程进阶课--Python大数据V3.0版全套教程第02部,115,51,681,7045,up主，这个进阶和早之前你发的进阶，视频的顺序不太对啊，这个感觉有几个是乱序的。P199，P200放错了,运行程序在哪里下载谢谢,up主，跪求一份这个进阶视频的配套资料～,有完整版吗,给老师点赞！！！
186,【python基础】2022零基础学习python，python处理excel自动化办公小工具实战案例(附带课件代码),59,50,710,6360,"置顶
课程中包含的大量实战小案例、数据源码，作业答案、笔记，视频+课件源码配套学习效果更佳 ，一键三连免费领取： python7373",type键是哪个键？,up主真好玩，写着代码还唱歌，三连奉上,2022零基础py最全资料合集：https://t.bilibili.com/725339321280757769?spm_id_from=444.41.0.0,0
187,【尚学堂】Python400集_零基础入门学习Python全套教程_Python教程从入门到精通_学Python看这一套就够了,598,212,1108,9140,"置顶
本套课程是由尚学堂高淇老师开讲的Python400集！
为初学者而著！
适合准备入行开发的零基础员学习python。python也是爬虫、大数据、人工智能等知识的基础。
每一个知识点都讲解的通俗易懂，知识点编排循序渐进，对每个知识点讲解都很细腻，非常适合大学在读学生、非计算机专业出身想学python的朋友或者想python基础知识更扎实的朋友。",这套视频，我看定啦,先收藏一波,已三连，我要源码和课件,看视频不要急于求成，一天看完全部视频不不等于你学完全部课程，多动动脑筋，多敲敲代码，日积月累，你将会成为一个编程高手
188,python爬虫基础实战：哔哩哔哩视频爬取案例入门到精通（内含实战项目）,331,222,812,2.5万,"import os
import re
import requests

video_url=input('请输入需要下载的B站视屏链接：')
headers={
    ""user-agent"": ""自己加自己的"",
    ""cookie"": ""自己加自己的“
}
response=requests.get(url=video_url,headers=headers).content.decode()
video_name=re.findall('name=""title"" content=""(.*?)_哔哩哔哩_bilibili"">',response)【0】
print('下载中---请稍等---')
video_link=re.findall(r'video"":\[{""id"":\d+,""baseUrl"":""(.*?)""',response)【0】
audio_link=re.findall(r'""audio"":\[{""id"":\d+,""baseUrl"":""(.*?)""',response)【0】
headers={
    ""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36"",
    ""referer"":video_url
}
video=requests.get(url=video_link,headers=headers).content
with open('video.mp4','wb') as f:
    f.write(video)
audio=requests.get(url=audio_link,headers=headers).content
with open('audio.mp3','wb') as f:
    f.write(audio)

os.system(f'ffmpeg -i ""video.mp4"" -i ""audio.mp3"" -c copy ""{video_name}.mp4""')
os.remove(""video.mp4"")
os.remove(""audio.mp3"")",看了这么多python视频，我觉得这真的是最好的一个，至少是最适合我的了，三连+关注走起,看到目前，最简单易懂，最新的爬虫教程，谢谢up主！感谢分享,太牛了。感觉我学不会。,这些代码已经不能爬取，现在B站的视频了；没有的
189,北京邮电大学一周讲完的Python教程，整整600集，全程干货无废话，学完即可上岗《零基础入门学习Python》,80,58,211,1961,已三连，求分享,已三连，求分享！,三连啦！,已三连,已三连，求分享
190,清华大学一周讲完的Python教程，整整700集，全程干货无废话，学完即可上岗《零基础入门学习Python》python基础-python教程-python入门,38,13,92,1619,学习,学习,三连了 求资料,学习,三连了 求资料
191,财务python基础课：财务人的第一个Python程序,562,218,1903,4.3万,"置顶
想要学习更多财务技术课程，请添加财码小姐姐微信 caima004",在写程序的时候可以把输入法设置成 在中文时使用英文字符，会方便点,财务学Python还是vba 哪个更合适,声音好听,怎么下载这个Python呀
192,大学生必看系列！超适合新手小白的10个Python小游戏项目案例，开创边学边玩，轻松搞定毕设难题！！！,145,201,155,2187,"置顶
需要项目案例合集源码的可以，我会发给大家，灌注up有快捷回复哟",已三连求源码,已三连 求源码,求源码,求源码
193,【Python教程】《零基础入门学习Python爬虫》2023最新版,453,421,571,6301,"置顶
☑️配套源码+工具软件👉详见置顶 评 论👈https://www.bilibili.com/opus/775808906467213367?spm_id_from=333.999.0.0",0,0,0,0
194,【Numpy、Matplotlib、OpenCV、Pandas】Python数据分析全套零基础学习教程，全程干货细讲，下一个数据分析师就是你,1490,406,995,1.5万,明日科技出品的零基础玩转Python数据分析课程，以数据分析“三剑客”——Pandas、Matplotlib 和 NumPy 为主线，全面介绍了数据分析入门的必备知识，从学习与应用的角度出发，帮助学习者快速掌握数据统计分析技能，拓宽职场道路。详情可关注：https://study.163.com/course/introduction/1212825810.htm,学习到了，真厉害了，关注了,老师用jupyter时，有自动补全功能，这个要怎么才能弄出来的呀,感谢老师分享干货，抱老师大腿了,已三连，up主真的超强(=・ω・=)
195,2023 python全新录制小白入门系统教学|附课件，源码 持续更新中 pyhton教程，python学习，python视频，python基础,329,165,188,3912,"置顶
up粉丝群：672907582、728631910
UP微信：qdpy88【备注：B站】
更适合零基础学员：0基础从你适不适合开始讲起。
教程PPT 软件安装包 快捷键 源代码回复“已三连”可领取","python入门基础笔记，持续更新
python创始人：吉多·范罗苏姆
中译文翻译过来又叫蟒蛇
python是一个可跨平台，可移植的编程语言，目前使用最多...",0,0,0
196,Python学习，没有电脑也能学好的编程的宝藏软件，我学编程的时候怎么没有遇到这个软件 干货满满！！,70,81,53,3406,已3连收藏，求app,求APP,已三连求软件,已三连，【伸手】【伸手】,求软件哦
197,【python基础】2023零基础学习python，python处理excel自动化办公小工具实战案例(附带课件代码),1177,529,5590,4.6万,"置顶
课程中包含的大量实战小案例、数据源码，作业答案、笔记，视频+课件源码配套学习效果更佳 ，一键三连加V免费领取： python9393","#洗牌
pk = list(set(pk))
#发牌
d = {}#装载玩家们手上的牌
j = 0
while j < len(names)*3:
    for name in names:
        if d.get(name):
            d【name】.append(pk【j】)
        else:
            d【name】 = [pk【j】]
        j += 1    
#亮牌
print('\nUP主的牌：',d.get('UP主'))
print('\n貂蝉的牌：',d.get('貂蝉'))
print('\n昭君的牌：',d.get('昭君'))
print('\n玉环的牌：',d.get('玉环'))
print('\n西施的牌：',d.get('西施'))
#比较大小，判断输赢
#------（略）
#------（略）","第二版：想着第一版重复代码比较多，思考着用循环给套进去，就可以减少一点代码量，因此改进了第二版。
import random
Person = list(range(1,301))
# print(Person)
n = 0
while n < 3:
        Lucky_drawAndPerson = 【】
        # print(f""第{n}轮抽奖时{Person}为以下值："")
        print(len(Person))
        print(Lucky_drawAndPerson.append(int(input(""请输入要抽取奖项：""))))
        Grade = Lucky_drawAndPerson【0】
        print(Lucky_drawAndPerson.append(int(input(f""请输入要抽取{Grade}等奖的人数:""))))
        print(f""请按Enter开始抽取{Grade}等奖"")

        Lucky_draw = random.sample(Person,Lucky_drawAndPerson【1】)
        selector = 【】
        for i in range(len(Lucky_draw)):
            selector.append(Lucky_draw【i】)
        print(f""获得{Grade}等奖的人员分别是：{selector}"")
        Person = list(set(Person) - set(selector))
        n += 1

等后续课程学完，再想着怎么继续优化吧，新手小白，不喜勿喷哈",满满的干货,UP主加油！看好你噢~
198,学Python有哪些用途,702,181,1373,8.0万,"置顶
全集课程：零基础入门学Python
课程地址：http://antpython.net/sl/01
如果购买课程，提供课件数据资料包、提供本人1V1答疑服务、提供答疑群。
咨询微信：ant_learn_python","从认识Python到哭着说不学了
qwq",意思是学完语法之后应该逐渐学习各个包对吗？那这些包有什么学习顺序吗,怎么赚钱,多长时间 可以 从基础 到 人工智能 三年 够吗？
199,全套Python教程_Python基础入门视频教程，零基础小白自学Python入门教程（会打字就能学会的python教程）,31,21,177,2221,三连了求求求,三连了求求求,三连了，求资料,三连了 求,三连了，求资料
200,【python基础】2022零基础学习python，python处理excel自动化办公小工具实战案例(附带课件代码),119,65,886,6191,加油,不错，学习了，赞👍🏻,哈哈😄，⛽️,0,0
